thread_id,customer_text,historical_reply,true_intent,should_escalate,escalation_reason
1034,When will Spotify get updated and fixed for iOS especially to fit the iPhone X screen @SpotifyCares,@USER Hey David! Check out the official idea and add your vote to let our devs know it's something you'd like to see: /KL,App Bug & Performance,false,Standard troubleshooting
1232,Hey @SpotifyCares could you figure out why Lauren got charged this month and sort it out please? We’re all terribly concerned with this.,"@USER Hey. We've checked backstage, and it appears everything has been sorted out. Thanks for the heads up! /AY",Billing & Subscription,true,Requires backend billing refund access
54,"@SpotifyCares I used the Inspect element in Chrome to look at the code for the form. It loaded in the window pane on the left side. When I closed the inspection tool, the form was still there. I entered my information and all is well. Weird.","@USER Just to clarify, were you able to successfully update your payment details? /LM",Billing & Subscription,true,Requires backend billing refund access
1149,@SpotifyCares Thanks. Is it something that might be available in the future?,"@USER While we have no info to share about this, you could vote for the official idea in our Community: /MU",Content Availability,false,Standard troubleshooting
407,@SpotifyCares 8.4.21.508 armV7,"@USER Thanks for that. Is this crash happening while connected to WiFi, 3G/4G or both? Keep us posted /JI",App Bug & Performance,false,Standard troubleshooting
1466,@SpotifyCares I'm using xiaomi redmi 3s. But it happens also when I'm listening from the website😥,"@USER Hmm, that's odd. Can you DM us your account's email address or username? We'll take a look backstage /MT",App Bug & Performance,false,Standard troubleshooting
1330,@SpotifyCares Hey thanks for replying so fast I don't get any message it just won't play.,"@USER Could you fire over the make/model, operating system, and the Spotify version of the device you're using? We'll see what we can suggest /KB",Audio Playback Failure,false,Standard troubleshooting
1436,@SpotifyCares how many votes does it take to make @USER think about it?,"@USER Don't worry, our team is always on the watch for new ideas from our Community's ideas board. Hopefully we'll have it implemented soon 🙂 /AC",App Bug & Performance,false,Standard troubleshooting
859,@SpotifyCares how can I remove the 3.3k song limit on downloads? What's the point of a 256GB phone with this limitation?,@USER Hey! You can learn more about the song limit in Your Music here: /RB,Playlist & Library Sync,false,Standard troubleshooting
451,WHY FHE FUCK IS SPOTIFY ACTING UP???? @USER FIX YOUR DAMN APP UGLIES,"@USER Hey! Don’t worry, we can help. What’s happening exactly? Can you let us know the device/OS you’re using? /AP",App Bug & Performance,false,Standard troubleshooting
919,@SpotifyCares Version 8.4.22.857 armV7 Android Oreo (8.0) on a Pixel.,@USER Thanks. What we could suggest is a reinstall. Just follow these steps: Let us know how it goes /GK,App Bug & Performance,false,Standard troubleshooting
1206,"A lot of songs like that recently got taken off of @USER and I'd like to know why, @SpotifyCares.",@USER Hey Matt. Sometimes content gets temporarily removed because of licensing changes. Hopefully we'll have it available again soon! /NS,App Bug & Performance,false,Standard troubleshooting
569,@SpotifyCares it shows the whole list but i once i click on a certain song it only plays a preview?,"@USER Hey Lizzy! What device, operating system, and Spotify version are you on? We'll see what we can suggest /AY",Audio Playback Failure,false,Standard troubleshooting
1657,@SpotifyCares when I try to log in the application it will not even bring up the username and password page the login button does not work! What should I do?,"@USER Hey Sam, help's arrived! Can you tell us what device, operating system, and Spotify version you're using? We'll see what we can suggest /CH",Account & Login Access,true,Account access — requires identity verification
1780,"@SpotifyCares Didn't work. Also, y'all need an option to keep the quick controls in the notification panel even when I'm not in the app for a few minutes. If I still have a device playing Spotify the controls should stay, not time out.","@USER Hmm. Can you reinstall the app this time by following the steps here: As for the quick controls not timing out, we'll let our devs know that it's something you'd like to have on the mobile app /JU",Audio Playback Failure,false,Standard troubleshooting
13,@SpotifyCares Hi there! Those songs are not found on Spotify 😭😢,"@USER We understand your frustration. We’d love to have all of their stuff available! Hopefully we will in the future. In the meantime, we have some info about content here: If you ever need anything else, just shout and we'll come running 🏃 /LX",App Bug & Performance,false,Standard troubleshooting
1554,"@SpotifyCares my Facebook bio is linking to a user by the same name instead of my verified artist account, how can I fix this?",@USER Hey! Our friends in Artist Support are the right folks to help with this. You can get in touch with them here: /MU,Account & Login Access,true,Account access — requires identity verification
1650,"@SpotifyCares hi, images don't render on app. S7 edge, should I reinstall?","@USER Hey Danny, help's here! Can you let us know the Android and Spotify versions you're using? We'll see what we can suggest /RS",App Bug & Performance,false,Standard troubleshooting
326,@SpotifyCares Ireland,"@USER Got it! It should be available in your region. Can you let us know the device, operating system, and app version you're using? /PB",App Bug & Performance,false,Standard troubleshooting
1429,"@SpotifyCares I do not use the app, only the online version and my device is up to date.",@USER Great. Can we have you try clearing your cache/cookies? You might also want to try using an incognito window. Let us know how it goes /JI,App Bug & Performance,false,Standard troubleshooting
865,What’s up @USER? My premium acct isn’t working. Not a fan of ads or not being able to pick my song selection.,"@USER Hey Kim, help's here! Can you DM us your account's email address and username? We'll take a look backstage /MX",Billing & Subscription,true,Requires backend billing refund access
696,@SpotifyCares Hi. Can I try 3 months of Premium for $0.99 and after 3 months change it to Premium for students?,@USER Hey! Help's here. Can you DM us your account's email address? We'll take a look backstage and give you some more info /BD,Billing & Subscription,true,Requires backend billing refund access
318,"Now that I'm down a Cash Money rabbit hole, someone tell @USER their The Heart Of Tha Streetz tracklist is off.","@USER Hey Briana! Thanks for reporting. Can you send over the URI of the album, as well as what looks incorrect on your end? We'll take a look /TB",Billing & Subscription,true,Requires backend billing refund access
440,"Would be very cool @USER if under ""New Releases"" things were separated by Album vs. Single &lt;3",@USER This sounds like a great idea! Suggest it in our Community at so it can get support from other users 💚 /RR,Content Availability,false,Standard troubleshooting
1960,@SpotifyCares I didn’t make one after it didn’t get me approved.,"@USER Just to check, have you created a Spotify account already? If not, you can create one here: Hope that helps /AC",App Bug & Performance,false,Standard troubleshooting
1563,"@SpotifyCares Maybe there is a way of stopping automatic update. Seriously, im getting tired of this problem",@USER Hey there! We're sorry to hear that. It's not currently possible to turn off automatic update. Are you still having issues with the app? /PB,App Bug & Performance,false,Standard troubleshooting
689,"@SpotifyCares OK, so I have a paid Spotify subscription and a paid Groove Music subscription. You're not gonna charge me double, are you?","@USER Hey Slim, not at all! We have more info to share here: If you have any other questions, let us know 🙂 /NG",Billing & Subscription,true,Requires backend billing refund access
189,@SpotifyCares Do you guys know about the player background bug in iOS yet? Here’s a quick video of it.,"@USER Got it, thanks for pointing that out for us! We'll let the right team know this something they should look into. Great detective work: 🔍 /TB",Audio Playback Failure,false,Standard troubleshooting
778,"@SpotifyCares fyi, when Spotify goes to an ad, the whole app (android) needs the ol' turn it off and on again to work. Bug in the last update?","@USER Hi PJ, help's here. Can you let us know the device, operating system, and Spotify version you're using? We'll see what we can suggest /NY",App Bug & Performance,false,Standard troubleshooting
198,"@USER Add my name to the list of people who don't like that 3,333 limit. I just bought a 128GB sd card for my tablet &amp; just found out I can't use it the way I want. My list of songs I want to download isn't far above that limit either.","@USER Hey Carmen! Thanks for sharing your thoughts about the download limit. Don't worry, we'll pass your feedback on to the right folks. You can also vote for the official idea here: /KB",Playlist & Library Sync,false,Standard troubleshooting
735,how cant SPOTIFY be available in my countryyyyyy wtf,@USER Hey there! Could you let us know the country you're currently in? We'll keep an eye out for your reply /LP,Content Availability,false,Standard troubleshooting
1735,"@SpotifyCares Tried that, totes doesn't work. When I play from mobile OR desktop, I can't drag the currently playing song...","@USER Thanks for giving it a shot. We're afraid it's not currently possible on Mac. Don't worry, we'll pass on your feedback to our devs /AY",Audio Playback Failure,false,Standard troubleshooting
704,"yo @USER why don't you have a ""remove from this playlist"" option on mobile?","@USER Hey! What device, operating system, and Spotify version are you using? We'll see what we can suggest /CB",Audio Playback Failure,false,Standard troubleshooting
1236,@SpotifyCares In my library,@USER Got it! Can you DM us your account's email address or username? We'll check backstage /AR,Playlist & Library Sync,false,Standard troubleshooting
541,@USER can you please not put up the ad with the girl bending over?,@USER Hi Joshua! Can you give us more info on this? We'll see what we can suggest /DV,App Bug & Performance,false,Standard troubleshooting
1652,"@SpotifyCares Getting clicking and popping sounds on Spotify Premium (1.0.67.582.g19436fa3) Playback, reinstalled, Hardware Acceleration off, High Quality streaming off, 3 X spotify.exe? (PCSpec:",@USER Hey Nick! What's the exact Spotify version you're using? Does logging out &gt; restarting your device &gt; logging back in help? /AY,Billing & Subscription,true,Requires backend billing refund access
88,@SpotifyCares the share feature is broken. I love sharing my Spotify links but all it does is show a blank page and goes back to the song.,"@USER Hey Miranda! What device and Spotify version are you using? Also, what platform are you sharing to? We'll see what we can suggest /BH",App Bug & Performance,false,Standard troubleshooting
1494,@USER still looking for I Want Us...by The Roads Below??? It just disappeared into thin air! What happened?,@USER Hi Jody. Sometimes content gets temporarily removed because of licensing changes. Hopefully we'll have it available again soon! /JU,Playlist & Library Sync,false,Standard troubleshooting
940,"@SpotifyCares The app pausing Spotify constantly is @USER 's Dasher app for drivers, here's screenshots of my phone and app info","@USER Thanks for the screenshots. When did this start happening, was it after a specific update or has it been happening ever since? /HC",App Bug & Performance,false,Standard troubleshooting
1098,@USER Too bad it’s not an Apple Watch app,@USER 2: add your vote to let our devs know it's something you'd like to see: /RC,App Bug & Performance,false,Standard troubleshooting
255,@SpotifyCares It's been like this for the past 8 minutes,@USER That's odd. Does using a different browser help at all? /AP,App Bug & Performance,false,Standard troubleshooting
1992,"@SpotifyCares Did yall take apps off of your service? I used to have one a couple years ago that helped me find artists from various countries. If yall did, do yall offer any ways that can help me find some? Any playlists or features?","@USER Hey there! Just to clarify, are you trying to download the Spotify app? What device, operating system, and Spotify version are you using? We'll see what we can suggest /MA",Audio Playback Failure,false,Standard troubleshooting
1888,"@SpotifyCares @USER always goes to ""Brain freeze"" when trying to cast. Other apps work fine with it. Android, iOS same issue.",@USER Hi there! Can we have you check out the steps under 'Spotify and Chromecast: General Troubleshooting’ at: /JI,App Bug & Performance,false,Standard troubleshooting
775,@USER hi ya question why does my music skip if it's downloaded or streaming #veryanoying,@USER Hey there! That's not cool. Does logging out &gt; restarting the device &gt; logging back in help? Keep us posted 🙂 /CG,Audio Playback Failure,false,Standard troubleshooting
161,"@USER @USER Hmm. 🤔 The song is still there when I search and plays fine, but not listed as part of the album (as it’s been every time before).",@USER @USER Hey Linds! Can you send us the Song Link? Just tap the three dots &gt; Share &gt; Copy Link. We'll look into this for you /MS,Audio Playback Failure,false,Standard troubleshooting
1130,@SpotifyCares S8+. Version 8.4.24.871 armv7,@USER Thanks! Could you try restarting your device for 30 seconds? Let us know if you see any difference /LD,App Bug & Performance,false,Standard troubleshooting
600,"@SpotifyCares Version 1.0.68.407.g6864aaaf now, but the freeze happened shortly after I started up and got the 'updating' message. Windows error logs don't seem to have anything.",@USER Thanks for letting us know. Does logging out &gt; restarting the device &gt; logging back in help? Keep us posted /AL,App Bug & Performance,false,Standard troubleshooting
1698,@SpotifyCares i cant login to my premium for family account ... my profile is showing as free for some reason,@USER Hey! Can you DM us your account's username and email address? We'll take a look behind the scenes /JL,Billing & Subscription,true,Requires backend billing refund access
1287,@USER @SpotifyCares need support,"@USER Hey Ferry! Don’t worry, we'll look into this. What’s happening exactly? Can you let us know the operating system you’re using? /MS",App Bug & Performance,false,Standard troubleshooting
1266,"@USER Now, I have a error code:2 (Service is temporaly unavailable) is this correct?","@USER Hey Gerardo! Help's here. Can you let us know what device, operating system, and version of Spotify you're using? We'll check backstage /AN",Billing & Subscription,true,Requires backend billing refund access
1813,"@SpotifyCares When I go to OFFLINE mode the downloaded songs I have will not play Doesn't happen all the time, but has happened more than once on Samsung8",@USER That's not cool. Does logging out &gt; restarting the device &gt; logging back in help? Keep us posted /MX,Audio Playback Failure,false,Standard troubleshooting
1764,@SpotifyCares I already tried a different browser and now I just tried incognito. No difference. Still frozen.,@USER Got it. Can you try restarting your device and see if that helps at all? Keep us posted /AG,App Bug & Performance,false,Standard troubleshooting
740,"@SpotifyCares This is the track that's wrong: spotify:track:2VQc9orzwE6a5qFfy54P6e On the album, there are two different songs called ""Blessings"" - track 5 and 14. The system just has the second one (track 14, spotify:track:5IdQEHgtmj9th3OkfQKhf8 ) in both spots.",@USER Thanks! Can you also let us know the country you're account is currently set to? /LO,Content Availability,false,Standard troubleshooting
1182,@USER ok honestly this is doing my nut in now whys it keep playing other random playlists when I’m tryna listen to one album??,"@USER Hey there! What device, operating system, and Spotify version are you on? Are you rocking Free or Premium? /AY",Audio Playback Failure,false,Standard troubleshooting
393,@SpotifyCares I’m using the newest version of iOS and the 8.4.25 version of spotify,@USER Thanks. Could you let us know the exact iOS device and version? We'll see what we can suggest /RS,App Bug & Performance,false,Standard troubleshooting
1442,@SpotifyCares Is the lyrics feature coming back like you guys said 10 months ago?,"@USER Hi! We hear you. Any updates will be posted at We'd recommend voting to support the idea, too /MU",Feature Request & Feedback,false,Standard troubleshooting
142,@SpotifyCares this is not cool!,@USER Hi there! Can you DM us your account's username or email address? We'll take a look under the hood /JM,App Bug & Performance,false,Standard troubleshooting
93,The new MacOS High Sierra update has broke the media controls on my MBPro keyboard - they no longer function?! @SpotifyCares @USER,@USER Hey Grant! Can you tell us when this started happening? Was it after an app update? /CH,App Bug & Performance,false,Standard troubleshooting
1354,@SpotifyCares Thanks! iOS version 11.0.3 and Spotify version 8.4.22.515,@USER 2: your account's email address and we'll take a look backstage /RR,App Bug & Performance,false,Standard troubleshooting
466,"@SpotifyCares I have a Samsung as a phone, and I would like to download the video of the video to my phone","@USER Okay. Just to clarify, are you looking to download a video that you've found on your Spotify app onto your mobile device? Keep us posted /JI",Playlist & Library Sync,false,Standard troubleshooting
1583,.@USER do you care to explain why AM to PM by Christina Milian is not available on US Spotify?!?,"@USER Hey there, help's here! Are you getting any error messages when trying to play the song? Keep us in the loop /KL",Content Availability,false,Standard troubleshooting
592,@SpotifyCares I can't pay for my subscription because the form keeps expiring.,@USER Hey Niki! Does using an incognito window/private browser help at all? Let us know how that goes /TF,Billing & Subscription,true,Requires backend billing refund access
163,"@SpotifyCares The iOS app nags me about being offline every time I turn on the phone with Spotify open and I have the phone in airplane mode. Even when I have the app in offline mode. This makes using the app during flights a frustrating, annoying, painful, and slow experience.","@USER Hey there! We're here to help. Can you tell us what device, operating system and version of Spotify you're using? /LF",Billing & Subscription,true,Requires backend billing refund access
1751,@USER @SpotifyCares Same. Seems to be the UK site is the only thing not working,"@USER Thanks for sharing. We'll look into it. Have you tried using a private/incognito window or a different browser? By the way, what is it that you were trying to do? We'll see if there's something we can do from here /CO",App Bug & Performance,false,Standard troubleshooting
1774,"@SpotifyCares yep, but iys haooen too often",@USER Is this happening to this album alone? Could you check other tracks/albums as well? We'll wait for your reply /JP,App Bug & Performance,false,Standard troubleshooting
206,@USER I can I purchase the premium??,"@USER Hey there! To enjoy Spotify Premium, just go here: Let us know how it goes /RE",Billing & Subscription,true,Requires backend billing refund access
928,"If @USER doesn’t quit pausing my music when I get a notification, im switching to Apple Music",@USER Hey Logan! The cavalry's here. Could you tell us the iOS and Spotify version you're currently on? We'll see what we can suggest /KB,App Bug & Performance,true,User expressing churn threat
1301,"feature request for @USER mac app, profiles like work, home etc. I hate disabling/enabling proxy when at home/work :(","@USER Hey Baran, this sounds like a great idea! Suggest it in our Community at and get support from other users /TB",Feature Request & Feedback,false,Standard troubleshooting
1708,"@SpotifyCares It’s an IPhone SE, it’s weird as every other artist is playing fine",@USER Got it! That's not cool. Does logging out &gt; restarting the device &gt; logging back in help? Keep us posted /MX,Audio Playback Failure,false,Standard troubleshooting
747,"@SpotifyCares help please! This is on my Windows desktop app and this keeps popping up. Have restarted, logged out all devices, changed password. Been going for a couple days now and no help that I can find online.",@USER Hi Steve! Help's here. Can you DM us your account's username or email address? We'll take a look under the hood /DN,Account & Login Access,true,Account access — requires identity verification
333,@USER y’all lame for not letting mobile phones set pics on our playlists,@USER Hi there! Thanks for the feedback. We'll pass it onto the right team. Let us know if there's anything else we can do to help /DV,Audio Playback Failure,false,Standard troubleshooting
758,@SpotifyCares I am always using incognito browsing =)),@USER Got it. How about trying it out on another browser? Does it make any difference? /GK,App Bug & Performance,false,Standard troubleshooting
727,@SpotifyCares Premium &amp; when i️ have it on shuffle it turns off when the song is done and just plays in order and the repeat lights up but doesn’t repeat,@USER Hmm. Can you try restarting your device by holding the Sleep/Wake + Volume Down buttons for 10 seconds? Keep us posted /LS,Billing & Subscription,true,Requires backend billing refund access
429,@SpotifyCares I have tried this several times but it does not work,"@USER Got it.Is this happening while connected to WiFi, 3G/4G or both? /KL",App Bug & Performance,false,Standard troubleshooting
1372,Why can't I add a song to my playlist @USER @SpotifyCares,"@USER Hey Lizbeth, help's here! Are you getting any error messages when you try to add playlists? A screenshot would also be helpful /JN",Audio Playback Failure,false,Standard troubleshooting
546,".@USER The debut album from Stormwarrior is self titled, not called ""Same"".",@USER Hey there! Could you let us know what device/OS you're using? We'll take a look backstage /DF,Content Availability,false,Standard troubleshooting
1437,@USER @USER @USER sad to say Spotify is not in India,@USER Hey Prajwal! We're launching in new countries as often as possible. Be sure to add your email at /K,App Bug & Performance,false,Standard troubleshooting
1918,@SpotifyCares Eastern time,"@USER 2: If you don't have that device, we're afraid it won't be possible to see your History. Do you recall the genre/lyrics of this track? /LP",App Bug & Performance,false,Standard troubleshooting
1399,@SpotifyCares Works with keyboard and Beats Solo 3 tho,@USER Thanks for that info. Can you try the steps here for us: They should help with this. Let us know how it goes /JI,App Bug & Performance,false,Standard troubleshooting
1327,"@SpotifyCares Are you really relying on your customers to determine release dates? 😲 The One-T ODC = 2003, The One-T's ABC = 2006","@USER Thanks for sending this over. We've reported this to our Content team, who will be taking a closer look at this soon. If you need anything else, just shout! /K",Content Availability,false,Standard troubleshooting
146,@SpotifyCares Avrx2000 Denon amp . Using Spotify app on Samsung s 6 .via wireless set up .says connected on the amp but isn't connecting via the phone and app.,"@USER Thanks for the info. As we look to improve the overall Spotify experience, we are removing the app's integration from the Denon Avrx2000. There's more info here: We hope this clears things up. Let us know if you have any other questions /LM",App Bug & Performance,false,Standard troubleshooting
1247,@SpotifyCares will tablet mode work on a samsung galaxy tab E ? The screen dimensions are 9.6 inches.,@USER Hi Jae! Could you check if your device meets the system requirements at We'll keep an eye out for your reply /LP,App Bug & Performance,false,Standard troubleshooting
1300,@SpotifyCares It doesn’t let me click the filter bar when editing my playlist and there is no option in the (...) next to the song that says delete,"@USER Hmm. Just to check, does the filter not allow you to enter any text at all? Can we also have you send over a screenshot of the options available to you once the (...) button has been selected? We'll see what we can suggest /JI",Audio Playback Failure,false,Standard troubleshooting
350,@SpotifyCares I have a samsung s7 edge. I have the newest Spotify update and the same for my phone.,@USER Have you tried logging out &gt; restarting your device &gt; logging back in? See if that helps /RH,App Bug & Performance,false,Standard troubleshooting
1093,@SpotifyCares is down?,"@USER Hey there! The website should be up and running. Are you getting any error messages when accessing the site? If so, can you send us a screenshot? /PB",App Bug & Performance,false,Standard troubleshooting
1493,@SpotifyCares do I need to open Spotify on my ps4 to connect my phone? Before the new update I was able to use my phone to connect instead,@USER Hey! We suggest opening Spotify first so Connect can see your PlayStation 4 as a device. More info here: /BX,App Bug & Performance,false,Standard troubleshooting
334,"@SpotifyCares hey guys, how come when i play music off my laptop this static sound increases until i can't hear the original music","@USER Hey Kevin, that doesn't sound good. Just to check, is it happening to any track? What Mac OS and Spotify version are you using? /RK",Audio Playback Failure,false,Standard troubleshooting
946,@SpotifyCares i'm in Portugal right now,"@USER Thanks! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: /LO",App Bug & Performance,false,Standard troubleshooting
777,"@USER @SpotifyCares hi Spotify,are there any extra requirement for approval on Spotify Artist?(beside register the band on the Spotify Artist app)",@USER Hey! Our friends in Artist Support are the right folks to help with this. You can get in touch with them here: /JM,App Bug & Performance,false,Standard troubleshooting
552,@SpotifyCares not sure if it's my phone or your app but I keep skipping mid podcast to the next episode,@USER Hey there! Can you let us know your phone's operating system and the Spotify version you're running? We'll see what we can suggest /LO,Audio Playback Failure,false,Standard troubleshooting
1895,"@USER hey hey. small bug on desktop, maybe. The radio thumbnails as well as the play control bar sometimes pulse/flash weirdly.","@USER Hey Joseph, thanks for sending us those screenshots! Could you let us know what OS you're rocking, as well as your Spotify version? /TB",Audio Playback Failure,false,Standard troubleshooting
1310,@SpotifyCares Cont: I am using an Android system.,@USER Hi there. Can you DM us your account's email address? We'll take a look /LM,App Bug & Performance,false,Standard troubleshooting
1409,"@SpotifyCares Hello. I've turned off autoplay, yet Spotify keeps playing music I do not want after an album/playlist ends. Driving me nuts.",@USER Hey there! Can you let us know the device/OS and Spotify version you're using? We'll see what we can suggest /AR,Audio Playback Failure,false,Standard troubleshooting
1140,@SpotifyCares Only on High Sierra. I’m on version:,@USER Thanks! Could you try restarting your device and see if that'll make a difference? Keep us in the loop /JM,App Bug & Performance,false,Standard troubleshooting
449,@SpotifyCares I keep getting automated replies with no help to my question,"@USER Not to worry, rest assured you're talking to a live person. Can you let us know how we can help you out? We'll see what we can suggest /MO",App Bug & Performance,false,Standard troubleshooting
1402,@SpotifyCares I am having triuble with cancelling my premium as ther is no change or cancel option on my laptop or phone,"@USER Hey Maddison, help's here! No worries, you can cancel anytime by heading to Let us know if you need a hand /TR",Billing & Subscription,true,User expressing churn threat
664,I need to listen to hands and xback spotify wont let me why @USER @USER,@USER Hi there. We'd love to have them on Spotify! Hopefully we will in the future. Check this out: /DR,App Bug & Performance,false,Standard troubleshooting
1726,@SpotifyCares why none of the imagine dragons' songs are playable? it happened since a couple days ago! please fix it!,"@USER Hi there! Don't worry, we'll figure this out. Can you let us know what device and version of Spotify you're using? /DR",Audio Playback Failure,false,Standard troubleshooting
1573,"@USER doesn't work since yesterday with my audio's chromecast. Pbm is on Android &amp; IOs. Other apps work well like youtube, tunein, gmusic","@USER Hey, help's here! Can you let us know which Android and iOS version you're running on the devices that you're using to cast? /MA",Audio Playback Failure,false,Standard troubleshooting
1589,@SpotifyCares what should I do if my album is currently under another bands spotify page? Trying to get access on Spotify for artists.,@USER Hey! You can contact our Artist team here: They'll be the best folks to help you out /ND,Content Availability,false,Standard troubleshooting
114,@USER your web player is broken. Help.,@USER Hey Erin! Does clearing your cache/cookies help? You might also want to try using an incognito window. Let us know how it goes /KL,Audio Playback Failure,false,Standard troubleshooting
469,"@USER my music keeps stuttering, whether it's downloaded or streaming. I have premium. I already redownloaded the app on my phone.","@USER Hey there! What device, operating system, and Spotify version are you using? We'll see what we can suggest /KC",Billing & Subscription,true,Requires backend billing refund access
1683,@SpotifyCares I'm using the latest version of Spotify on iOS 11.0.3,"@USER Thanks! To reduce the number of Suggested Tracks you get, try adding more artists into your playlists /QI",App Bug & Performance,false,Standard troubleshooting
1648,@SpotifyCares I have not noticed anything else not working. Restart and log in/out did not work either.,@USER Got it. Does this happen when logging in to other devices as well? /SJ,Account & Login Access,true,Account access — requires identity verification
646,. @SpotifyCares @USER it’s been little over a year since @USER got bamboozled. can you guys fix the album art? thanks!,@USER Thanks. We'll get this reported. Great detective work! 🔍 /LS,Content Availability,false,Standard troubleshooting
