thread_id,customer_text,historical_reply,true_intent,predicted_intent,should_escalate,predicted_escalate,retrieved_reply
1385,.@USER please stop sending me upcoming concert emails full of sold-out shows. It’s MEAN.,"@USER We hear you, Kaitlyn! Your feedback has been noted and passed onto the team 👊🏼 /KL",App Bug & Performance,App Bug & Performance,False,False,@USER 2: The feature can be turned off through mobile. Let us know if you have any other questions /MT
1516,@SpotifyCares I recently joined Spotify premium I used to have ITunes can you please let me know how could I import my ITunes library to Spotify’s library ? Thanks,"@USER Hey! You can find more info on how to import your tunes from iTunes at If you have questions, let us know /RA",Billing & Subscription,Playlist & Library Sync,True,False,"@USER Hey there! You can try following the steps at Let us know how it goes. On the other hand, we're afraid that local files will not appear under Your Library (Songs, Artists, Albums). We'll make sure to pass on your feedback though /JP"
1827,"@USER we really need spotify in our country, i will go with premium subs if i have to!","@USER Hey Roger! Just to check, where are you currently located? /JN",Billing & Subscription,Billing & Subscription,True,True,@USER Hey there! We're launching regularly in countries around the world. Sign up here to be first to hear: 🙂 /JI
1116,@USER How do you stop premium???,@USER Hey! We can help cancel your subscription. Can you DM us your account's email address? We'll be waiting for your reply /MG,Billing & Subscription,Billing & Subscription,True,True,"@USER On your mobile device, you should be able to turn off this feature by going to Settings &gt; Stranger Things Mode. Hope this helps /AR"
178,"@SpotifyCares Sorted, thanks! Took over an hour and several different devices, but done. Kept receiving a server error. Thanks for getting back to me. (Just got to wait &amp; go through 8 days of kids arguing for Premium for Family now) 😂👍","@USER Glad to hear you're finally on Premium for Family now! If you ever need us again, we're just a tweet away. 😁 /JE",Billing & Subscription,Billing & Subscription,True,True,"@USER What happens when you try to play a track on that album? Are you seeing any error messages? If so, a screenshot would be handy /LO"
1209,@USER can y'all update red velvet's discography already? why is rebirth still their most recent album?,"@USER Hi! We’d love to have all of Red Velvet's stuff available, but we have some info about content here: We'll be here if you have other questions 🙂 /RR",App Bug & Performance,Content Availability,False,False,"@USER Hey! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: /DF"
864,"@SpotifyCares It’s an iPhone 7 Plus, iOS 11.1.2 and it’s he most recent Spotify update",@USER Thanks! Does logging out &gt; restarting the device &gt; logging back in help? Keep us posted /JJ,App Bug & Performance,App Bug & Performance,False,False,"@USER Got it. Do you come across any error messages when your playback stops? If so, can you send us a screenshot? /JU"
65,@SpotifyCares It is an #amazing album. @USER at his finest,@USER We'd love to have it on Spotify! Fingers crossed it'll soon be available to us 👍 /RK,Content Availability,Content Availability,False,False,@USER Hey Soumik! We're launching in new countries as often as possible. Be sure to add your email at /TB
61,@SpotifyCares I have a problem with my new release not showing up under my artist profile. When can you fix this?,@USER Hey! Sorry about that. We’d recommend reaching out to your distributor/aggregator. They'll work with our team to get this sorted /MC,Content Availability,App Bug & Performance,False,False,"@USER Hey there, help's here! Does logging out &gt; restarting the device &gt; logging back in help? Keep us posted /CG"
191,thank you @USER for giving me useless information when all i wanted to know was what he was saying at that moment,"@USER Hey Claire! These annotations give extra details to the songs. In the track's last Genius card, there’s a link to the full lyrics /CE",App Bug & Performance,App Bug & Performance,False,False,@USER No worries! Sounds like a plan. We'll be keeping an eye out for your update 🙂 /DR
447,"@USER Hello, im having problems qith my account! I paid for premium but I still can’t use it ??? My account seems to still be on spotify normal and the payment passed ! I turned off my account , still doesnt work. What can i do?",@USER Hey Melissa! Can you fire over your account's email address via DM? We'll take a look backstage /JA,Billing & Subscription,Billing & Subscription,True,True,@USER Hey! We’re sorry to hear that. Check out for what to do next /NQ
476,@USER I'm trying to authorize payment for my premium account and the website won't take payment! Funds are available whats wrong?,"@USER Hey Jewels, we'd love to help! Can you DM us your account's username/email address? We'll check what's happening backstage /JP",Billing & Subscription,Billing & Subscription,True,True,"@USER Hey there, help's here! Could you DM us your account's username and email address along with some details about what's happening? /MQ"
1034,When will Spotify get updated and fixed for iOS especially to fit the iPhone X screen @SpotifyCares,@USER Hey David! Check out the official idea and add your vote to let our devs know it's something you'd like to see: /KL,App Bug & Performance,App Bug & Performance,False,False,@USER Thanks! Try restarting your device by holding Home + Lock for 10 seconds. Does that help? /RB
1232,Hey @SpotifyCares could you figure out why Lauren got charged this month and sort it out please? We’re all terribly concerned with this.,"@USER Hey. We've checked backstage, and it appears everything has been sorted out. Thanks for the heads up! /AY",Billing & Subscription,App Bug & Performance,True,False,"@USER Hi Francesca, help's here! Can you DM us your account's username or email address? We'll take a look under the hood /PL"
54,"@SpotifyCares I used the Inspect element in Chrome to look at the code for the form. It loaded in the window pane on the left side. When I closed the inspection tool, the form was still there. I entered my information and all is well. Weird.","@USER Just to clarify, were you able to successfully update your payment details? /LM",Billing & Subscription,App Bug & Performance,True,False,@USER Hey Niki! Does using an incognito window/private browser help at all? Let us know how that goes /TF
1149,@SpotifyCares Thanks. Is it something that might be available in the future?,"@USER While we have no info to share about this, you could vote for the official idea in our Community: /MU",Content Availability,Content Availability,False,False,@USER Sometimes content gets temporarily removed because of licensing changes. Are you having trouble playing any of David Archuleta's songs? /TB
407,@SpotifyCares 8.4.21.508 armV7,"@USER Thanks for that. Is this crash happening while connected to WiFi, 3G/4G or both? Keep us posted /JI",App Bug & Performance,App Bug & Performance,False,False,@USER Hmm. Have you tried logging out then back in? Does restarting your device help at all? /PB
1466,@SpotifyCares I'm using xiaomi redmi 3s. But it happens also when I'm listening from the website😥,"@USER Hmm, that's odd. Can you DM us your account's email address or username? We'll take a look backstage /MT",App Bug & Performance,App Bug & Performance,False,False,@USER Got it. Could you send us a screenshot of what you see when you try to play one of those songs? We'll take a look /RH
1330,@SpotifyCares Hey thanks for replying so fast I don't get any message it just won't play.,"@USER Could you fire over the make/model, operating system, and the Spotify version of the device you're using? We'll see what we can suggest /KB",Audio Playback Failure,Audio Playback Failure,False,False,"@USER Hmm. Can you let us know the exact device, Android, and app versions you're using? We'll wait for your reply /PB"
1436,@SpotifyCares how many votes does it take to make @USER think about it?,"@USER Don't worry, our team is always on the watch for new ideas from our Community's ideas board. Hopefully we'll have it implemented soon 🙂 /AC",App Bug & Performance,App Bug & Performance,False,False,"@USER 2: haven't had a subscription before. Sign up here: Any questions, give us a shout /NG"
859,@SpotifyCares how can I remove the 3.3k song limit on downloads? What's the point of a 256GB phone with this limitation?,@USER Hey! You can learn more about the song limit in Your Music here: /RB,Playlist & Library Sync,Audio Playback Failure,False,False,"@USER We hear you 🎧 Rest assured your feedback's been noted and passed on to the right folks. Any questions, just give us a shout /AN"
451,WHY FHE FUCK IS SPOTIFY ACTING UP???? @USER FIX YOUR DAMN APP UGLIES,"@USER Hey! Don’t worry, we can help. What’s happening exactly? Can you let us know the device/OS you’re using? /AP",App Bug & Performance,App Bug & Performance,False,False,"@USER Hey Gillian, help's here. What's happening exactly? If you could also let us know the device, operating system, and Spotify version you're using, that'd be great /AY"
919,@SpotifyCares Version 8.4.22.857 armV7 Android Oreo (8.0) on a Pixel.,@USER Thanks. What we could suggest is a reinstall. Just follow these steps: Let us know how it goes /GK,App Bug & Performance,App Bug & Performance,False,False,@USER Thanks. Our best tech folks are on the case as we speak. Hopefully we'll have a fix soon! /DR
1206,"A lot of songs like that recently got taken off of @USER and I'd like to know why, @SpotifyCares.",@USER Hey Matt. Sometimes content gets temporarily removed because of licensing changes. Hopefully we'll have it available again soon! /NS,App Bug & Performance,App Bug & Performance,False,False,@USER Hi there! Sometimes content gets temporarily removed because of licensing changes. Hopefully we'll have it available again soon /AK
569,@SpotifyCares it shows the whole list but i once i click on a certain song it only plays a preview?,"@USER Hey Lizzy! What device, operating system, and Spotify version are you on? We'll see what we can suggest /AY",Audio Playback Failure,Audio Playback Failure,False,False,"@USER Can you try restarting your device, then log out and back in? While you're at it, what Android and Spotify versions are you using? /AU"
1657,@SpotifyCares when I try to log in the application it will not even bring up the username and password page the login button does not work! What should I do?,"@USER Hey Sam, help's arrived! Can you tell us what device, operating system, and Spotify version you're using? We'll see what we can suggest /CH",Account & Login Access,Account & Login Access,True,True,@USER Hey Javier! We'll help out. Can you DM us your account's email address? We'll take a look under the hood /AN
1780,"@SpotifyCares Didn't work. Also, y'all need an option to keep the quick controls in the notification panel even when I'm not in the app for a few minutes. If I still have a device playing Spotify the controls should stay, not time out.","@USER Hmm. Can you reinstall the app this time by following the steps here: As for the quick controls not timing out, we'll let our devs know that it's something you'd like to have on the mobile app /JU",Audio Playback Failure,App Bug & Performance,False,False,"@USER Got it. Are you seeing any error messages when trying to play the tracks? Also, is this happening across all your devices? /LO"
13,@SpotifyCares Hi there! Those songs are not found on Spotify 😭😢,"@USER We understand your frustration. We’d love to have all of their stuff available! Hopefully we will in the future. In the meantime, we have some info about content here: If you ever need anything else, just shout and we'll come running 🏃 /LX",App Bug & Performance,App Bug & Performance,False,False,"@USER Hey there! Is there something you need our help with? If so, let us know and we'll take a look 🙂 /VK"
1554,"@SpotifyCares my Facebook bio is linking to a user by the same name instead of my verified artist account, how can I fix this?",@USER Hey! Our friends in Artist Support are the right folks to help with this. You can get in touch with them here: /MU,Account & Login Access,App Bug & Performance,True,False,"@USER Hey, we're here to help! Can you DM us your account's email address? We'll take a look backstage /KM"
1650,"@SpotifyCares hi, images don't render on app. S7 edge, should I reinstall?","@USER Hey Danny, help's here! Can you let us know the Android and Spotify versions you're using? We'll see what we can suggest /RS",App Bug & Performance,App Bug & Performance,False,False,"@USER 1: Thanks. Does the app crash during playback or when using the app's other features? Can you try logging out, restarting the app... /SJ"
326,@SpotifyCares Ireland,"@USER Got it! It should be available in your region. Can you let us know the device, operating system, and app version you're using? /PB",App Bug & Performance,App Bug & Performance,False,False,@USER How about logging out &gt; restarting your device &gt; logging back in again? /KM
1429,"@SpotifyCares I do not use the app, only the online version and my device is up to date.",@USER Great. Can we have you try clearing your cache/cookies? You might also want to try using an incognito window. Let us know how it goes /JI,App Bug & Performance,App Bug & Performance,False,False,@USER Got it. Can you check if reinstalling the app does the trick? Just follow the steps at Keep us posted /DV
865,What’s up @USER? My premium acct isn’t working. Not a fan of ads or not being able to pick my song selection.,"@USER Hey Kim, help's here! Can you DM us your account's email address and username? We'll take a look backstage /MX",Billing & Subscription,Billing & Subscription,True,True,@USER Hey there! Everything should be running smoothly now. Let us know if this is still happening /FR
696,@SpotifyCares Hi. Can I try 3 months of Premium for $0.99 and after 3 months change it to Premium for students?,@USER Hey! Help's here. Can you DM us your account's email address? We'll take a look backstage and give you some more info /BD,Billing & Subscription,Billing & Subscription,True,True,"@USER Hey Stephanie! We can see that you're currently on Premium. Right now, this offer's for new subscribers only. This campaign will last till the 31st of December. Customers eligible for this offer will get 3 months of Premium. Hope this clears things up /RS"
318,"Now that I'm down a Cash Money rabbit hole, someone tell @USER their The Heart Of Tha Streetz tracklist is off.","@USER Hey Briana! Thanks for reporting. Can you send over the URI of the album, as well as what looks incorrect on your end? We'll take a look /TB",Billing & Subscription,App Bug & Performance,True,False,@USER Hi! We're afraid it's not possible to turn off Suggested tracks as it's part of our Free service on mobile: /JP
440,"Would be very cool @USER if under ""New Releases"" things were separated by Album vs. Single &lt;3",@USER This sounds like a great idea! Suggest it in our Community at so it can get support from other users 💚 /RR,Content Availability,Content Availability,False,False,@USER Hi there! Can you DM us your account's username or email address? We'll take a look under the hood /JM
1960,@SpotifyCares I didn’t make one after it didn’t get me approved.,"@USER Just to check, have you created a Spotify account already? If not, you can create one here: Hope that helps /AC",App Bug & Performance,App Bug & Performance,False,False,"@USER Got it. Are you seeing any error messages when trying to play the tracks? Also, is this happening across all your devices? /LO"
1563,"@SpotifyCares Maybe there is a way of stopping automatic update. Seriously, im getting tired of this problem",@USER Hey there! We're sorry to hear that. It's not currently possible to turn off automatic update. Are you still having issues with the app? /PB,App Bug & Performance,App Bug & Performance,False,False,"@USER Hey there! What device, operating system, and Spotify version are you using? We'll see what we can suggest /RB"
689,"@SpotifyCares OK, so I have a paid Spotify subscription and a paid Groove Music subscription. You're not gonna charge me double, are you?","@USER Hey Slim, not at all! We have more info to share here: If you have any other questions, let us know 🙂 /NG",Billing & Subscription,Billing & Subscription,True,True,"@USER We understand. Don't worry, We'll let the right team know it's something you'd like to see /NS"
189,@SpotifyCares Do you guys know about the player background bug in iOS yet? Here’s a quick video of it.,"@USER Got it, thanks for pointing that out for us! We'll let the right team know this something they should look into. Great detective work: 🔍 /TB",Audio Playback Failure,App Bug & Performance,False,False,"@USER Just to check, does this also happen even when not connected to your car stereo? /RC"
778,"@SpotifyCares fyi, when Spotify goes to an ad, the whole app (android) needs the ol' turn it off and on again to work. Bug in the last update?","@USER Hi PJ, help's here. Can you let us know the device, operating system, and Spotify version you're using? We'll see what we can suggest /NY",App Bug & Performance,App Bug & Performance,False,False,@USER Hey! We hear you. Your feedback has been noted and passed onto the team /NQ
198,"@USER Add my name to the list of people who don't like that 3,333 limit. I just bought a 128GB sd card for my tablet &amp; just found out I can't use it the way I want. My list of songs I want to download isn't far above that limit either.","@USER Hey Carmen! Thanks for sharing your thoughts about the download limit. Don't worry, we'll pass your feedback on to the right folks. You can also vote for the official idea here: /KB",Playlist & Library Sync,Playlist & Library Sync,False,False,"@USER Just to check, is this happening on 3/4G, WiFi, or both? /KM"
735,how cant SPOTIFY be available in my countryyyyyy wtf,@USER Hey there! Could you let us know the country you're currently in? We'll keep an eye out for your reply /LP,Content Availability,Content Availability,False,False,@USER Hey Serge! The Stranger Things Mode is in partnership with Netflix to promote the latest season of Stranger Things. It's a cool feature available for users who stream from the official playlists of the series. You can try it out to see for yourself 🙂 /JE
1735,"@SpotifyCares Tried that, totes doesn't work. When I play from mobile OR desktop, I can't drag the currently playing song...","@USER Thanks for giving it a shot. We're afraid it's not currently possible on Mac. Don't worry, we'll pass on your feedback to our devs /AY",Audio Playback Failure,Audio Playback Failure,False,False,@USER Got it! Thanks for taking the time to reach out – your feedback's been noted 📝 /DF
704,"yo @USER why don't you have a ""remove from this playlist"" option on mobile?","@USER Hey! What device, operating system, and Spotify version are you using? We'll see what we can suggest /CB",Audio Playback Failure,Audio Playback Failure,False,False,@USER Hey! You can find info on removing tracks from playlists here: Is this what you're looking for? /RE
1236,@SpotifyCares In my library,@USER Got it! Can you DM us your account's email address or username? We'll check backstage /AR,Playlist & Library Sync,App Bug & Performance,False,False,"@USER Hey! You can find more info on how to import your tunes from iTunes at If you have questions, let us know /RA"
541,@USER can you please not put up the ad with the girl bending over?,@USER Hi Joshua! Can you give us more info on this? We'll see what we can suggest /DV,App Bug & Performance,App Bug & Performance,False,False,@USER Hi there! Can you try this: Let us know how it goes /MG
1652,"@SpotifyCares Getting clicking and popping sounds on Spotify Premium (1.0.67.582.g19436fa3) Playback, reinstalled, Hardware Acceleration off, High Quality streaming off, 3 X spotify.exe? (PCSpec:",@USER Hey Nick! What's the exact Spotify version you're using? Does logging out &gt; restarting your device &gt; logging back in help? /AY,Billing & Subscription,Billing & Subscription,True,True,"@USER Thanks for the info. Just to check, is the same issue happening on a different PC? Keep us updated /NY"
88,@SpotifyCares the share feature is broken. I love sharing my Spotify links but all it does is show a blank page and goes back to the song.,"@USER Hey Miranda! What device and Spotify version are you using? Also, what platform are you sharing to? We'll see what we can suggest /BH",App Bug & Performance,App Bug & Performance,False,False,"@USER Hi there, help's here. Can you let us know the operating system and Spotify version you're using? Does logging out and back in help? /AC"
1494,@USER still looking for I Want Us...by The Roads Below??? It just disappeared into thin air! What happened?,@USER Hi Jody. Sometimes content gets temporarily removed because of licensing changes. Hopefully we'll have it available again soon! /JU,Playlist & Library Sync,Audio Playback Failure,False,False,"@USER Hey Mark! Just to check, are you referring to a playlist you've downloaded for offline use or is it missing even when you're online? We'll be right here waiting /LP"
940,"@SpotifyCares The app pausing Spotify constantly is @USER 's Dasher app for drivers, here's screenshots of my phone and app info","@USER Thanks for the screenshots. When did this start happening, was it after a specific update or has it been happening ever since? /HC",App Bug & Performance,App Bug & Performance,False,False,"@USER Hi there! Everything's up and running on our end. What's happening exactly? Can you let us know the exact device, operating system, and Spotify app version you're using? We'll help out /NJ"
1098,@USER Too bad it’s not an Apple Watch app,@USER 2: add your vote to let our devs know it's something you'd like to see: /RC,App Bug & Performance,Playlist & Library Sync,False,False,"@USER Hi Gracie! Although the app is not currently available for the Apple Watch, be sure to check out the official idea and add your vote to let our devs know it's something you'd like to see: 🙂 /JI"
255,@SpotifyCares It's been like this for the past 8 minutes,@USER That's odd. Does using a different browser help at all? /AP,App Bug & Performance,App Bug & Performance,False,False,"@USER Hey Abbie, that doesn't sound good! Did the app crash at any point during the 30 minutes? That can cause the ad-free time to reset /MQ"
1992,"@SpotifyCares Did yall take apps off of your service? I used to have one a couple years ago that helped me find artists from various countries. If yall did, do yall offer any ways that can help me find some? Any playlists or features?","@USER Hey there! Just to clarify, are you trying to download the Spotify app? What device, operating system, and Spotify version are you using? We'll see what we can suggest /MA",Audio Playback Failure,App Bug & Performance,False,False,@USER Hey there! What’s happening exactly? Can you tell us more about it? We'll see what we can suggest /JE
1888,"@SpotifyCares @USER always goes to ""Brain freeze"" when trying to cast. Other apps work fine with it. Android, iOS same issue.",@USER Hi there! Can we have you check out the steps under 'Spotify and Chromecast: General Troubleshooting’ at: /JI,App Bug & Performance,App Bug & Performance,False,False,"@USER Hey there! Are you getting any specific error messages? What device, operating system, and Spotify version are you using? /KC"
775,@USER hi ya question why does my music skip if it's downloaded or streaming #veryanoying,@USER Hey there! That's not cool. Does logging out &gt; restarting the device &gt; logging back in help? Keep us posted 🙂 /CG,Audio Playback Failure,App Bug & Performance,False,False,"@USER Can you try going to the playlist that you want to sort? Then click on the column, it should arrange it alphabetically. Keep us posted /GU"
161,"@USER @USER Hmm. 🤔 The song is still there when I search and plays fine, but not listed as part of the album (as it’s been every time before).",@USER @USER Hey Linds! Can you send us the Song Link? Just tap the three dots &gt; Share &gt; Copy Link. We'll look into this for you /MS,Audio Playback Failure,Audio Playback Failure,False,False,"@USER Hey, that doesn't sound right. Can you let us know the iOS and Spotify versions you're using? We'll see what we can suggest /RH"
1130,@SpotifyCares S8+. Version 8.4.24.871 armv7,@USER Thanks! Could you try restarting your device for 30 seconds? Let us know if you see any difference /LD,App Bug & Performance,App Bug & Performance,False,False,"@USER Can you log out, restart the device, then log back in before checking if the same thing happens again? /JU"
600,"@SpotifyCares Version 1.0.68.407.g6864aaaf now, but the freeze happened shortly after I started up and got the 'updating' message. Windows error logs don't seem to have anything.",@USER Thanks for letting us know. Does logging out &gt; restarting the device &gt; logging back in help? Keep us posted /AL,App Bug & Performance,App Bug & Performance,False,False,"@USER Yes, thanks for sending over the exact versions you're using. Does logging out, restarting your device, and logging back in make any difference at all? /YM"
1698,@SpotifyCares i cant login to my premium for family account ... my profile is showing as free for some reason,@USER Hey! Can you DM us your account's username and email address? We'll take a look behind the scenes /JL,Billing & Subscription,Billing & Subscription,True,True,"@USER Hey there, help's here! Does logging out &gt; restarting the device &gt; logging back in help? Keep us posted /CG"
1287,@USER @SpotifyCares need support,"@USER Hey Ferry! Don’t worry, we'll look into this. What’s happening exactly? Can you let us know the operating system you’re using? /MS",App Bug & Performance,App Bug & Performance,False,False,"@USER Hey! Don’t worry, we can help. What’s happening exactly? Can you let us know the device/OS you’re using? /TB"
1266,"@USER Now, I have a error code:2 (Service is temporaly unavailable) is this correct?","@USER Hey Gerardo! Help's here. Can you let us know what device, operating system, and version of Spotify you're using? We'll check backstage /AN",Billing & Subscription,Billing & Subscription,True,True,"@USER Hey, sorry to hear that! Check out the steps under “Downloads unexpectedly removed” at Hope this helps /QI"
1813,"@SpotifyCares When I go to OFFLINE mode the downloaded songs I have will not play Doesn't happen all the time, but has happened more than once on Samsung8",@USER That's not cool. Does logging out &gt; restarting the device &gt; logging back in help? Keep us posted /MX,Audio Playback Failure,Audio Playback Failure,False,False,@USER Hmm. Can you DM us your account's username or email address? We'll check things out backstage /YM
1764,@SpotifyCares I already tried a different browser and now I just tried incognito. No difference. Still frozen.,@USER Got it. Can you try restarting your device and see if that helps at all? Keep us posted /AG,App Bug & Performance,App Bug & Performance,False,False,"@USER Hey, thanks for keeping us posted. What browsers have you tried? Could you also let us know the operating system you're on? /AY"
740,"@SpotifyCares This is the track that's wrong: spotify:track:2VQc9orzwE6a5qFfy54P6e On the album, there are two different songs called ""Blessings"" - track 5 and 14. The system just has the second one (track 14, spotify:track:5IdQEHgtmj9th3OkfQKhf8 ) in both spots.",@USER Thanks! Can you also let us know the country you're account is currently set to? /LO,Content Availability,App Bug & Performance,False,False,"@USER Hey, help's here! Can you let us know the device's make/model and the Spotify version you're using? We'll see what we can suggest /JS"
1182,@USER ok honestly this is doing my nut in now whys it keep playing other random playlists when I’m tryna listen to one album??,"@USER Hey there! What device, operating system, and Spotify version are you on? Are you rocking Free or Premium? /AY",Audio Playback Failure,Audio Playback Failure,False,False,"@USER Hey! What device, operating system, and Spotify version are you using? Also, are you Premium or Free? We'll see what we can suggest /CB"
393,@SpotifyCares I’m using the newest version of iOS and the 8.4.25 version of spotify,@USER Thanks. Could you let us know the exact iOS device and version? We'll see what we can suggest /RS,App Bug & Performance,App Bug & Performance,False,False,@USER Got it. Are you currently using a beta iOS version? Does restarting your device by holding the Sleep/Wake + Volume Down buttons for 10 seconds help at all? /KB
1442,@SpotifyCares Is the lyrics feature coming back like you guys said 10 months ago?,"@USER Hi! We hear you. Any updates will be posted at We'd recommend voting to support the idea, too /MU",Feature Request & Feedback,App Bug & Performance,False,False,"@USER We're afraid we don't have any additional info to share. Fingers crossed, it will one day. If you need anything else, let us know /RA"
142,@SpotifyCares this is not cool!,@USER Hi there! Can you DM us your account's username or email address? We'll take a look under the hood /JM,App Bug & Performance,App Bug & Performance,False,False,"@USER Thanks for sharing your thoughts! Fingers crossed that'll be possible soon. If you have anything else in mind, just give us a shout 🙂 /RH"
93,The new MacOS High Sierra update has broke the media controls on my MBPro keyboard - they no longer function?! @SpotifyCares @USER,@USER Hey Grant! Can you tell us when this started happening? Was it after an app update? /CH,App Bug & Performance,App Bug & Performance,False,False,@USER Thanks! Could you try restarting your device and see if that'll make a difference? Keep us in the loop /JM
1354,@SpotifyCares Thanks! iOS version 11.0.3 and Spotify version 8.4.22.515,@USER 2: your account's email address and we'll take a look backstage /RR,App Bug & Performance,App Bug & Performance,False,False,@USER Thanks! Can you send us a screenshot of the exact error message you're getting? /RA
466,"@SpotifyCares I have a Samsung as a phone, and I would like to download the video of the video to my phone","@USER Okay. Just to clarify, are you looking to download a video that you've found on your Spotify app onto your mobile device? Keep us posted /JI",Playlist & Library Sync,App Bug & Performance,False,False,"@USER Just to check, does this also happen even when not connected to your car stereo? /RC"
1583,.@USER do you care to explain why AM to PM by Christina Milian is not available on US Spotify?!?,"@USER Hey there, help's here! Are you getting any error messages when trying to play the song? Keep us in the loop /KL",Content Availability,Content Availability,False,False,@USER Hey there! Can you tell us what country your account is set to? We'll take a look backstage /MG
592,@SpotifyCares I can't pay for my subscription because the form keeps expiring.,@USER Hey Niki! Does using an incognito window/private browser help at all? Let us know how that goes /TF,Billing & Subscription,Billing & Subscription,True,True,@USER Hey there! This doesn't sound good. What issues are you having and on what device? We'll see what we can suggest /KB
163,"@SpotifyCares The iOS app nags me about being offline every time I turn on the phone with Spotify open and I have the phone in airplane mode. Even when I have the app in offline mode. This makes using the app during flights a frustrating, annoying, painful, and slow experience.","@USER Hey there! We're here to help. Can you tell us what device, operating system and version of Spotify you're using? /LF",Billing & Subscription,App Bug & Performance,True,False,@USER Thanks for the update. Can you try the steps here for us: Let us know if that helps at all /AG
1751,@USER @SpotifyCares Same. Seems to be the UK site is the only thing not working,"@USER Thanks for sharing. We'll look into it. Have you tried using a private/incognito window or a different browser? By the way, what is it that you were trying to do? We'll see if there's something we can do from here /CO",App Bug & Performance,App Bug & Performance,False,False,@USER Got it. Looks like the album isn't available in your country due to licensing. More info here: /AY
1774,"@SpotifyCares yep, but iys haooen too often",@USER Is this happening to this album alone? Could you check other tracks/albums as well? We'll wait for your reply /JP,App Bug & Performance,App Bug & Performance,False,False,@USER How about logging out &gt; restarting your device &gt; logging back in again? /KM
206,@USER I can I purchase the premium??,"@USER Hey there! To enjoy Spotify Premium, just go here: Let us know how it goes /RE",Billing & Subscription,Billing & Subscription,True,True,"@USER Hey Allison! Can you try logging in to your account at Afterwards, head over to Let us know how it goes /SJ"
928,"If @USER doesn’t quit pausing my music when I get a notification, im switching to Apple Music",@USER Hey Logan! The cavalry's here. Could you tell us the iOS and Spotify version you're currently on? We'll see what we can suggest /KB,App Bug & Performance,Audio Playback Failure,True,False,@USER Hey there! That's not cool. Can you let us know the exact iOS and Spotify versions you're rocking? We'll see what we can suggest /QI
