thread_id,customer_text,historical_reply,true_intent,predicted_intent,should_escalate,predicted_escalate,escalation_reason,draft_reply
1385,.@USER please stop sending me upcoming concert emails full of sold-out shows. It’s MEAN.,"@USER We hear you, Kaitlyn! Your feedback has been noted and passed onto the team 👊🏼 /KL",App Bug & Performance,Feature Request & Feedback,False,False,"This is a complaint about marketing email frequency and content, which falls under general feedback rather than a technical or billing issue.",We hear you! It’s definitely frustrating to see sold-out shows in your inbox. We’ve passed your feedback to the team so they can look into improving those notifications. Thanks for letting us know! 🎸 /AI
1516,@SpotifyCares I recently joined Spotify premium I used to have ITunes can you please let me know how could I import my ITunes library to Spotify’s library ? Thanks,"@USER Hey! You can find more info on how to import your tunes from iTunes at If you have questions, let us know /RA",Billing & Subscription,Feature Request & Feedback,True,False,"This is a general inquiry about a feature that is not currently available, requiring a standard informational response rather than escalation.","Hey there! Thanks for joining Premium 🎉 Unfortunately, we don't have a direct import tool for iTunes libraries yet. You can manually add your favorite tracks to playlists or use the 'Search' bar to find songs you loved on iTunes. We've passed your feedback along to the team! /AI"
1827,"@USER we really need spotify in our country, i will go with premium subs if i have to!","@USER Hey Roger! Just to check, where are you currently located? /JN",Billing & Subscription,Feature Request & Feedback,True,False,"This is a general request for regional availability, not a technical issue or billing dispute.","We hear you! We're always working to bring Spotify to more places, so keep an eye on our updates. 🌍 /AI"
1116,@USER How do you stop premium???,@USER Hey! We can help cancel your subscription. Can you DM us your account's email address? We'll be waiting for your reply /MG,Billing & Subscription,Billing & Subscription,True,True,"The user is asking how to cancel their Premium subscription, which involves account management and billing actions that require human verification.","Hey! To cancel your Premium plan, you can go to your account settings on the web or in the app and select 'Manage Plan' to switch to a free tier or cancel. If you're having trouble finding that option, let us know! /AI"
178,"@SpotifyCares Sorted, thanks! Took over an hour and several different devices, but done. Kept receiving a server error. Thanks for getting back to me. (Just got to wait &amp; go through 8 days of kids arguing for Premium for Family now) 😂👍","@USER Glad to hear you're finally on Premium for Family now! If you ever need us again, we're just a tweet away. 😁 /JE",Billing & Subscription,Account & Login Access,True,True,"The user reported persistent server errors and significant troubleshooting time, indicating a potential underlying technical or account issue that requires human verification.",Glad you got it sorted! Sorry about the server errors and the wait. Good luck with the family plan negotiations! 🎧 /AI
1209,@USER can y'all update red velvet's discography already? why is rebirth still their most recent album?,"@USER Hi! We’d love to have all of Red Velvet's stuff available, but we have some info about content here: We'll be here if you have other questions 🙂 /RR",App Bug & Performance,Content Availability,False,False,"This is a standard content availability issue regarding missing or outdated artist discography, which is handled by the auto-resolution workflow.",We hear you! We're always working to keep our catalog up to date with the latest releases. We've flagged this for our content team to review. Thanks for the heads up! 🎧 /AI
864,"@SpotifyCares It’s an iPhone 7 Plus, iOS 11.1.2 and it’s he most recent Spotify update",@USER Thanks! Does logging out &gt; restarting the device &gt; logging back in help? Keep us posted /JJ,App Bug & Performance,App Bug & Performance,False,False,"The user is providing device and OS details likely in response to a previous troubleshooting step for a technical issue, which can be handled by standard support protocols.","Thanks for the details! We'll use that info to help troubleshoot the issue. Is the app crashing, freezing, or just acting up? /AI"
65,@SpotifyCares It is an #amazing album. @USER at his finest,@USER We'd love to have it on Spotify! Fingers crossed it'll soon be available to us 👍 /RK,Content Availability,Feature Request & Feedback,False,False,No escalation needed as this is positive feedback.,Thanks for the love! We're glad you're enjoying the album. 🎧 /AI
61,@SpotifyCares I have a problem with my new release not showing up under my artist profile. When can you fix this?,@USER Hey! Sorry about that. We’d recommend reaching out to your distributor/aggregator. They'll work with our team to get this sorted /MC,Content Availability,Content Availability,False,False,"This is a standard content availability issue regarding release visibility, which can be handled with general troubleshooting steps.","Hey! Sorry your new track isn't showing up yet. 🎧 It can sometimes take a bit for new releases to propagate across the platform. Please double-check that the release date has passed and that your distributor has confirmed the metadata is correct. If it's been over 24 hours, try clearing your app cache or reinstalling. Let us know if it's still missing! /AI"
191,thank you @USER for giving me useless information when all i wanted to know was what he was saying at that moment,"@USER Hey Claire! These annotations give extra details to the songs. In the track's last Genius card, there’s a link to the full lyrics /CE",App Bug & Performance,Feature Request & Feedback,False,False,"The user is expressing frustration with the quality of lyrics or transcription features, which falls under product feedback rather than a critical account or billing issue.",We hear you! It’s frustrating when the lyrics don’t match what you’re hearing. We’ve passed this feedback to our team to help improve the accuracy. Thanks for letting us know! 🎧 /AI
447,"@USER Hello, im having problems qith my account! I paid for premium but I still can’t use it ??? My account seems to still be on spotify normal and the payment passed ! I turned off my account , still doesnt work. What can i do?",@USER Hey Melissa! Can you fire over your account's email address via DM? We'll take a look backstage /JA,Billing & Subscription,Billing & Subscription,True,True,"The user reports a successful payment that did not activate their Premium subscription, requiring manual billing verification.","Hey! Sorry about the mix-up with your Premium upgrade. Since the payment went through but the plan didn't switch, I've flagged this for our billing team to sort out ASAP. You'll hear from us shortly! /AI"
476,@USER I'm trying to authorize payment for my premium account and the website won't take payment! Funds are available whats wrong?,"@USER Hey Jewels, we'd love to help! Can you DM us your account's username/email address? We'll check what's happening backstage /JP",Billing & Subscription,Billing & Subscription,True,True,"The user is experiencing a payment authorization failure for their subscription, which requires manual review.","Hey! Sorry about the payment hiccup. Since the site isn't accepting your card, I've flagged this for our billing team to look into your account specifically. Hang tight! /AI"
1034,When will Spotify get updated and fixed for iOS especially to fit the iPhone X screen @SpotifyCares,@USER Hey David! Check out the official idea and add your vote to let our devs know it's something you'd like to see: /KL,App Bug & Performance,App Bug & Performance,False,False,This is a general performance and UI compatibility issue that can be addressed with standard troubleshooting or status updates.,"We hear you! We're constantly working on optimizing the app for all devices, including the iPhone X. Please make sure you're on the latest version from the App Store. If it's still glitching, try restarting your phone. Thanks for your patience! 📱 /AI"
1232,Hey @SpotifyCares could you figure out why Lauren got charged this month and sort it out please? We’re all terribly concerned with this.,"@USER Hey. We've checked backstage, and it appears everything has been sorted out. Thanks for the heads up! /AY",Billing & Subscription,Billing & Subscription,True,True,"The user is reporting an unexpected charge for a specific user, which requires manual billing investigation and potential refund processing.",Hi there! I'm sorry to hear about the unexpected charge for Lauren. I've flagged this for our billing team to investigate and sort out for you. Thanks for your patience! 🙏 /AI
54,"@SpotifyCares I used the Inspect element in Chrome to look at the code for the form. It loaded in the window pane on the left side. When I closed the inspection tool, the form was still there. I entered my information and all is well. Weird.","@USER Just to clarify, were you able to successfully update your payment details? /LM",Billing & Subscription,App Bug & Performance,True,False,The user has already resolved the issue themselves and is sharing a technical observation rather than reporting an active problem.,"Haha, glad you got it sorted! Sometimes the browser just needs a little nudge. Thanks for the heads-up on the quirk! 🕵️‍♂️ /AI"
1149,@SpotifyCares Thanks. Is it something that might be available in the future?,"@USER While we have no info to share about this, you could vote for the official idea in our Community: /MU",Content Availability,Feature Request & Feedback,False,False,"This is a general inquiry about future features, which is handled by the standard support flow.",We're always working on new stuff! Keep an eye on our updates for what's coming down the line. 🚀 /AI
407,@SpotifyCares 8.4.21.508 armV7,"@USER Thanks for that. Is this crash happening while connected to WiFi, 3G/4G or both? Keep us posted /JI",App Bug & Performance,App Bug & Performance,False,False,"User provided app version details likely for troubleshooting a technical issue, which can be handled via standard support protocols.",Thanks for the version info! Is there a specific issue you're running into with that build? Let us know so we can help you out. 🎧 /AI
1466,@SpotifyCares I'm using xiaomi redmi 3s. But it happens also when I'm listening from the website😥,"@USER Hmm, that's odd. Can you DM us your account's email address or username? We'll take a look backstage /MT",App Bug & Performance,Audio Playback Failure,False,False,"The user is reporting audio issues across multiple platforms, which is typically an auto-resolvable playback or device compatibility issue.","Sorry to hear that's happening on both your phone and the web! 🎧 Could you let us know if the music is skipping, freezing, or just silent? That helps us pinpoint the glitch. /AI"
1330,@SpotifyCares Hey thanks for replying so fast I don't get any message it just won't play.,"@USER Could you fire over the make/model, operating system, and the Spotify version of the device you're using? We'll see what we can suggest /KB",Audio Playback Failure,Audio Playback Failure,False,False,The user is reporting a playback issue which is an auto-resolvable intent.,"Sorry to hear that! 🎧 Please try restarting the app or checking your internet connection. If it still won't play, let us know what device you're using so we can help troubleshoot. /AI"
1436,@SpotifyCares how many votes does it take to make @USER think about it?,"@USER Don't worry, our team is always on the watch for new ideas from our Community's ideas board. Hopefully we'll have it implemented soon 🙂 /AC",App Bug & Performance,Feature Request & Feedback,False,False,"This is a general inquiry about the feature voting process, not a critical issue requiring human intervention.","Hey! There's no specific magic number, but every vote really helps us prioritize what to build next. Keep those suggestions coming! 🗳️ /AI"
859,@SpotifyCares how can I remove the 3.3k song limit on downloads? What's the point of a 256GB phone with this limitation?,@USER Hey! You can learn more about the song limit in Your Music here: /RB,Playlist & Library Sync,Feature Request & Feedback,False,False,"This is a product limitation inquiry and feedback, not a technical failure or billing issue.","We hear you! The 3.3k limit is there to manage storage and sync stability, but we know it can be frustrating on larger devices. We've passed this feedback along to the team! 📱🎧 /AI"
451,WHY FHE FUCK IS SPOTIFY ACTING UP???? @USER FIX YOUR DAMN APP UGLIES,"@USER Hey! Don’t worry, we can help. What’s happening exactly? Can you let us know the device/OS you’re using? /AP",App Bug & Performance,App Bug & Performance,False,True,The user is expressing extreme frustration with abusive language.,"We hear you, and we're sorry the app is acting up. Our team is looking into this to get things running smoothly again. /AI"
919,@SpotifyCares Version 8.4.22.857 armV7 Android Oreo (8.0) on a Pixel.,@USER Thanks. What we could suggest is a reinstall. Just follow these steps: Let us know how it goes /GK,App Bug & Performance,Feature Request & Feedback,False,False,"User provided device and app version details, likely for context in a bug report or feedback, which does not require immediate human escalation.",Thanks for the details! We've noted your device info. Is there a specific issue you're running into with this version? 📱 /AI
1206,"A lot of songs like that recently got taken off of @USER and I'd like to know why, @SpotifyCares.",@USER Hey Matt. Sometimes content gets temporarily removed because of licensing changes. Hopefully we'll have it available again soon! /NS,App Bug & Performance,Content Availability,False,False,"The user is inquiring about the removal of specific tracks from the catalog, which is a standard content availability issue.","Hey! That's usually due to licensing agreements expiring or changing. We're working hard to keep the catalog as full as possible, but sometimes tracks have to go. Thanks for your patience! 🎧 /AI"
569,@SpotifyCares it shows the whole list but i once i click on a certain song it only plays a preview?,"@USER Hey Lizzy! What device, operating system, and Spotify version are you on? We'll see what we can suggest /AY",Audio Playback Failure,Content Availability,False,False,The issue is related to content licensing restrictions rather than a technical failure or account problem.,"Hey! That usually happens if the track isn't available for full streaming in your region or on your current plan. It’s a licensing thing, not a bug! 🎧 /AI"
1657,@SpotifyCares when I try to log in the application it will not even bring up the username and password page the login button does not work! What should I do?,"@USER Hey Sam, help's arrived! Can you tell us what device, operating system, and Spotify version you're using? We'll see what we can suggest /CH",Account & Login Access,Account & Login Access,True,True,"The user is unable to access the login interface, indicating a potential account access issue that requires manual review.","Hey! That sounds super frustrating. Since the login screen isn't loading, we need a specialist to take a closer look at your account status. I've flagged this for our team to get you sorted out ASAP. 🛠️ /AI"
1780,"@SpotifyCares Didn't work. Also, y'all need an option to keep the quick controls in the notification panel even when I'm not in the app for a few minutes. If I still have a device playing Spotify the controls should stay, not time out.","@USER Hmm. Can you reinstall the app this time by following the steps here: As for the quick controls not timing out, we'll let our devs know that it's something you'd like to have on the mobile app /JU",Audio Playback Failure,Feature Request & Feedback,False,False,"The user is requesting a specific UI behavior change regarding notification controls, which is a product suggestion rather than a critical service outage.",Thanks for the suggestion! We've passed this along to the team to see if we can keep those controls sticky for you. 🎧 /AI
13,@SpotifyCares Hi there! Those songs are not found on Spotify 😭😢,"@USER We understand your frustration. We’d love to have all of their stuff available! Hopefully we will in the future. In the meantime, we have some info about content here: If you ever need anything else, just shout and we'll come running 🏃 /LX",App Bug & Performance,Content Availability,False,False,Content availability issues are handled via auto-resolution.,"We're sorry those tracks aren't available right now! Licensing can be tricky, but we're always working to add more music. Thanks for your patience! 🎧 /AI"
1554,"@SpotifyCares my Facebook bio is linking to a user by the same name instead of my verified artist account, how can I fix this?",@USER Hey! Our friends in Artist Support are the right folks to help with this. You can get in touch with them here: /MU,Account & Login Access,Account & Login Access,True,True,The user is experiencing an identity verification or account linking issue that requires manual review to resolve.,"Hey! That sounds frustrating. Since this involves your verified artist status and account linking, I've flagged this for our specialist team to sort out the mix-up. Hang tight! /AI"
1650,"@SpotifyCares hi, images don't render on app. S7 edge, should I reinstall?","@USER Hey Danny, help's here! Can you let us know the Android and Spotify versions you're using? We'll see what we can suggest /RS",App Bug & Performance,App Bug & Performance,False,False,This is a UI rendering issue that can be resolved with standard troubleshooting steps.,"Hey! That sounds like a glitch. Try clearing the app cache first before reinstalling. If it persists, a reinstall is a good next step. Let us know if that helps! 📱 /AI"
326,@SpotifyCares Ireland,"@USER Got it! It should be available in your region. Can you let us know the device, operating system, and app version you're using? /PB",App Bug & Performance,Account & Login Access,False,True,The user is reporting a potential account access issue or regional restriction that requires manual verification.,Hey! We're looking into this for you. Could you please DM us your account email so we can check what's going on? /AI
1429,"@SpotifyCares I do not use the app, only the online version and my device is up to date.",@USER Great. Can we have you try clearing your cache/cookies? You might also want to try using an incognito window. Let us know how it goes /JI,App Bug & Performance,App Bug & Performance,False,False,"The user is providing context about their environment (web player, updated device) likely in response to a previous troubleshooting step, which does not meet the criteria for immediate escalation.","Thanks for the update! Since you're on the web player, try clearing your browser cache or trying a different browser to see if that helps. Let us know if the issue persists! 🎧 /AI"
865,What’s up @USER? My premium acct isn’t working. Not a fan of ads or not being able to pick my song selection.,"@USER Hey Kim, help's here! Can you DM us your account's email address and username? We'll take a look backstage /MX",Billing & Subscription,Account & Login Access,True,True,"The user reports that their premium account is not functioning correctly, which requires manual account verification and potential billing or status investigation.",Hey! Sorry to hear your Premium perks aren't kicking in. Let's get a specialist to check your account status so you can get back to skipping ads and choosing your tracks. /AI
696,@SpotifyCares Hi. Can I try 3 months of Premium for $0.99 and after 3 months change it to Premium for students?,@USER Hey! Help's here. Can you DM us your account's email address? We'll take a look backstage and give you some more info /BD,Billing & Subscription,Billing & Subscription,True,True,The user is inquiring about specific promotional pricing and plan switching eligibility which requires human verification.,"Hey there! 🎧 While I can't confirm specific promo details or plan switches, our billing team can definitely help you sort out the best option for your student status. I've flagged this for them to get back to you! /AI"
318,"Now that I'm down a Cash Money rabbit hole, someone tell @USER their The Heart Of Tha Streetz tracklist is off.","@USER Hey Briana! Thanks for reporting. Can you send over the URI of the album, as well as what looks incorrect on your end? We'll take a look /TB",Billing & Subscription,Content Availability,True,False,"The user is reporting a discrepancy in the tracklist for a specific album, which is a content metadata issue rather than a billing or account access problem.",Thanks for flagging that! We'll pass this along to our content team to double-check the tracklist for The Heart Of Tha Streetz. 🎧 /AI
440,"Would be very cool @USER if under ""New Releases"" things were separated by Album vs. Single &lt;3",@USER This sounds like a great idea! Suggest it in our Community at so it can get support from other users 💚 /RR,Content Availability,Feature Request & Feedback,False,False,"This is a product suggestion, not a technical issue or account problem.",Love that idea! Separating albums from singles would definitely make browsing easier. I've passed this feedback along to our product team so they can consider it for future updates. Thanks for the suggestion! 🎧 /AI
1960,@SpotifyCares I didn’t make one after it didn’t get me approved.,"@USER Just to check, have you created a Spotify account already? If not, you can create one here: Hope that helps /AC",App Bug & Performance,Account & Login Access,False,True,"The user is reporting an issue with account approval or verification status, which requires human review.",Hey! Sorry to hear you're having trouble with your account approval. Let's get a human specialist to look into this for you. /AI
1563,"@SpotifyCares Maybe there is a way of stopping automatic update. Seriously, im getting tired of this problem",@USER Hey there! We're sorry to hear that. It's not currently possible to turn off automatic update. Are you still having issues with the app? /PB,App Bug & Performance,Feature Request & Feedback,False,False,"The user is requesting a feature to disable automatic updates and expressing frustration, which falls under feedback rather than a critical account or billing issue.",Hey! We hear you on the auto-updates. We've passed your feedback to the team to see if we can add a manual update option. Thanks for sticking with us! 🎧 /AI
689,"@SpotifyCares OK, so I have a paid Spotify subscription and a paid Groove Music subscription. You're not gonna charge me double, are you?","@USER Hey Slim, not at all! We have more info to share here: If you have any other questions, let us know 🙂 /NG",Billing & Subscription,Billing & Subscription,True,True,"The user is expressing concern about potential double billing across different services, which requires human verification of their account status and billing history.","Hey! Don't worry, we don't charge for other services. Your Spotify subscription is separate from Groove Music, so you'll only be billed by Spotify for your plan. If you see anything weird on your statement, let us know! /AI"
189,@SpotifyCares Do you guys know about the player background bug in iOS yet? Here’s a quick video of it.,"@USER Got it, thanks for pointing that out for us! We'll let the right team know this something they should look into. Great detective work: 🔍 /TB",Audio Playback Failure,App Bug & Performance,False,False,This is a known UI issue that can be resolved with standard troubleshooting steps.,"Thanks for flagging that! We've seen some reports of the player background glitching on iOS. Try restarting the app or updating to the latest version to see if that fixes it. If it persists, let us know! 📱 /AI"
778,"@SpotifyCares fyi, when Spotify goes to an ad, the whole app (android) needs the ol' turn it off and on again to work. Bug in the last update?","@USER Hi PJ, help's here. Can you let us know the device, operating system, and Spotify version you're using? We'll see what we can suggest /NY",App Bug & Performance,App Bug & Performance,False,False,This is a technical performance issue that can be addressed with troubleshooting steps.,"Oof, that’s definitely not the vibe we’re going for! 📱 Please try clearing the app cache or reinstalling the app to see if that fixes the ad glitch. If it persists, let us know! /AI"
198,"@USER Add my name to the list of people who don't like that 3,333 limit. I just bought a 128GB sd card for my tablet &amp; just found out I can't use it the way I want. My list of songs I want to download isn't far above that limit either.","@USER Hey Carmen! Thanks for sharing your thoughts about the download limit. Don't worry, we'll pass your feedback on to the right folks. You can also vote for the official idea here: /KB",Playlist & Library Sync,Feature Request & Feedback,False,False,The user is providing feedback on a product limitation rather than reporting a technical failure or billing issue.,We hear you! We've passed your feedback along to the team about the download limits. Thanks for letting us know! 🎧 /AI
735,how cant SPOTIFY be available in my countryyyyyy wtf,@USER Hey there! Could you let us know the country you're currently in? We'll keep an eye out for your reply /LP,Content Availability,Content Availability,False,False,This is a standard inquiry regarding regional service availability which can be addressed with general information.,"Hey there! We're sorry to hear that Spotify isn't available in your region yet. We're constantly working to expand our reach, but for now, we can't offer the service there. Thanks for your patience! 🌍 /AI"
1735,"@SpotifyCares Tried that, totes doesn't work. When I play from mobile OR desktop, I can't drag the currently playing song...","@USER Thanks for giving it a shot. We're afraid it's not currently possible on Mac. Don't worry, we'll pass on your feedback to our devs /AY",Audio Playback Failure,App Bug & Performance,False,False,This is a UI interaction issue that can be resolved with troubleshooting steps.,"Oof, that’s frustrating! It sounds like a UI glitch. Try restarting the app or clearing the cache on both devices. If it persists, let us know your OS version so we can dig deeper. /AI"
704,"yo @USER why don't you have a ""remove from this playlist"" option on mobile?","@USER Hey! What device, operating system, and Spotify version are you using? We'll see what we can suggest /CB",Audio Playback Failure,Feature Request & Feedback,False,False,"This is a product feature suggestion, not a technical failure or account issue.",We hear you! We're always looking for ways to make managing playlists smoother on mobile. We've passed this feedback along to our product team. Thanks for the suggestion! 📱 /AI
1236,@SpotifyCares In my library,@USER Got it! Can you DM us your account's email address or username? We'll check backstage /AR,Playlist & Library Sync,Playlist & Library Sync,False,False,The user is reporting a library issue which is typically auto-resolvable via sync checks.,"Hey! Sorry your library is acting up. 📚 Try refreshing your app or checking your internet connection to see if that helps. If it's still missing, let us know what specifically disappeared! /AI"
541,@USER can you please not put up the ad with the girl bending over?,@USER Hi Joshua! Can you give us more info on this? We'll see what we can suggest /DV,App Bug & Performance,Feature Request & Feedback,False,False,"This is general feedback regarding ad content, not a technical issue or billing dispute.",Hey! We hear you. We've passed your feedback along to the team so they can review the ad content. Thanks for letting us know! 📝 /AI
1652,"@SpotifyCares Getting clicking and popping sounds on Spotify Premium (1.0.67.582.g19436fa3) Playback, reinstalled, Hardware Acceleration off, High Quality streaming off, 3 X spotify.exe? (PCSpec:",@USER Hey Nick! What's the exact Spotify version you're using? Does logging out &gt; restarting your device &gt; logging back in help? /AY,Billing & Subscription,Audio Playback Failure,True,False,This is a technical audio issue that can be resolved with standard troubleshooting steps.,"Hey! Sorry about the crackling. Since you've already tried the basics, try disabling the 'Exclusive Mode' in your Windows Sound settings for your output device, or switch your audio driver to a different one (like Realtek vs. High Definition Audio). Let us know if that helps! 🎧 /AI"
88,@SpotifyCares the share feature is broken. I love sharing my Spotify links but all it does is show a blank page and goes back to the song.,"@USER Hey Miranda! What device and Spotify version are you using? Also, what platform are you sharing to? We'll see what we can suggest /BH",App Bug & Performance,App Bug & Performance,False,False,This is a technical UI issue that can be addressed with troubleshooting steps.,"Ouch, that's definitely not the vibe we want for sharing your jams! 🎧 Try clearing your app cache or updating to the latest version to see if that fixes the blank page issue. If it persists, let us know! /AI"
1494,@USER still looking for I Want Us...by The Roads Below??? It just disappeared into thin air! What happened?,@USER Hi Jody. Sometimes content gets temporarily removed because of licensing changes. Hopefully we'll have it available again soon! /JU,Playlist & Library Sync,Content Availability,False,False,"The user is reporting a missing track, which is a standard content availability issue that can be addressed with general troubleshooting or catalog information.","Hey! That's super frustrating. Sometimes tracks disappear due to licensing changes. Try searching for the artist name directly or checking if it's on a different album. If it's still gone, it might be temporarily unavailable. 🎧 /AI"
940,"@SpotifyCares The app pausing Spotify constantly is @USER 's Dasher app for drivers, here's screenshots of my phone and app info","@USER Thanks for the screenshots. When did this start happening, was it after a specific update or has it been happening ever since? /HC",App Bug & Performance,App Bug & Performance,False,False,This is a technical performance issue that can be addressed with standard troubleshooting steps.,"Hey! Sorry about the constant pausing. Since you're using the Dasher app, it might be conflicting with Spotify's background permissions. Try clearing Spotify's cache or checking if 'Battery Saver' is restricting Spotify. Let us know if that helps! /AI"
1098,@USER Too bad it’s not an Apple Watch app,@USER 2: add your vote to let our devs know it's something you'd like to see: /RC,App Bug & Performance,Feature Request & Feedback,False,False,"This is a product feature suggestion, not a technical issue or account problem.",We hear you! We've passed your feedback to the team about an Apple Watch app. Thanks for the suggestion! 📱 /AI
255,@SpotifyCares It's been like this for the past 8 minutes,@USER That's odd. Does using a different browser help at all? /AP,App Bug & Performance,Audio Playback Failure,False,False,The issue is a temporary playback failure which can be resolved with standard troubleshooting steps.,"Sorry about the hiccup! 🎧 Please try restarting the app or checking your internet connection. If it persists, let us know! /AI"
1992,"@SpotifyCares Did yall take apps off of your service? I used to have one a couple years ago that helped me find artists from various countries. If yall did, do yall offer any ways that can help me find some? Any playlists or features?","@USER Hey there! Just to clarify, are you trying to download the Spotify app? What device, operating system, and Spotify version are you using? We'll see what we can suggest /MA",Audio Playback Failure,Feature Request & Feedback,False,False,"The user is inquiring about a removed feature and asking for alternatives, which falls under product feedback and does not require human escalation.","Hey! We don't have that specific app anymore, but you can definitely still explore global music! Try checking out our 'New Music Friday' or searching for 'World Music' playlists. You can also use the 'Discover Weekly' feature to find new artists based on your taste. Let us know if you find any gems! 🌍🎶 /AI"
1888,"@SpotifyCares @USER always goes to ""Brain freeze"" when trying to cast. Other apps work fine with it. Android, iOS same issue.",@USER Hi there! Can we have you check out the steps under 'Spotify and Chromecast: General Troubleshooting’ at: /JI,App Bug & Performance,App Bug & Performance,False,False,This is a technical casting issue that can be addressed with troubleshooting steps.,"Ouch, that's definitely not the vibe we want! 🥶 Since it happens on both Android and iOS, try restarting your casting device and making sure Spotify is updated. If it persists, let us know which device you're casting to so we can dig deeper. /AI"
